datetime,PredWeldNumber,ActualWeldNumber,PredictionStart,WeldStart
2022-08-11 03:29:56.357,0,0,0,0
2022-08-11 03:30:01.270,1,1,1,1
2022-08-11 03:30:01.393,1,1,0,0
2022-08-11 03:36:06.385,2,2,1,1
2022-08-11 03:36:06.501,2,2,0,0
2022-08-11 03:43:41.278,3,3,1,1
2022-08-11 03:43:41.394,3,3,0,0
2022-08-11 03:45:48.101,4,4,1,1
2022-08-11 03:45:48.217,4,4,0,0
2022-08-11 03:48:21.882,5,5,1,1
2022-08-11 03:48:21.998,5,5,0,0
2022-08-11 03:51:49.254,6,6,1,1
2022-08-11 03:51:49.370,6,6,0,0
2022-08-11 03:54:11.818,7,7,1,1
2022-08-11 03:54:11.934,7,7,0,0
2022-08-11 03:56:19.704,8,8,1,1
2022-08-11 03:56:19.804,8,8,0,0
2022-08-11 03:59:06.764,9,9,1,1
2022-08-11 03:59:06.865,9,9,0,0
2022-08-11 04:00:57.537,10,10,1,1
2022-08-11 04:00:57.653,10,10,0,0
2022-08-11 04:02:45.142,11,11,1,1
2022-08-11 04:02:45.242,11,11,0,0
2022-08-11 04:04:27.702,12,12,1,1
2022-08-11 04:04:27.802,12,12,0,0
2022-08-11 04:05:59.508,13,13,1,1
2022-08-11 04:05:59.624,13,13,0,0
2022-08-11 04:08:17.365,14,14,1,1
2022-08-11 04:08:17.481,14,14,0,0
2022-08-11 04:10:15.443,15,15,1,1
2022-08-11 04:10:15.565,15,15,0,0
2022-08-11 04:12:41.955,16,16,1,1
2022-08-11 04:12:42.071,16,16,0,0
2022-08-11 04:15:02.073,17,17,1,1
2022-08-11 04:15:02.189,17,17,0,0
2022-08-11 04:17:04.968,18,18,1,1
2022-08-11 04:17:05.069,18,18,0,0
2022-08-11 04:18:57.914,19,19,1,1
2022-08-11 04:18:58.030,19,19,0,0
2022-08-17 07:28:11.468,20,20,1,1
2022-08-17 07:28:11.568,20,20,0,0
2022-08-17 07:30:07.458,21,21,1,1
2022-08-17 07:30:07.574,21,21,0,0
2022-08-17 07:32:52.187,22,22,1,1
2022-08-17 07:32:52.303,22,22,0,0
2022-08-17 07:34:44.590,23,23,1,1
2022-08-17 07:34:44.691,23,23,0,0
2022-08-17 07:38:14.614,24,24,1,1
2022-08-17 07:38:14.730,24,24,0,0
2022-08-17 07:40:20.662,25,25,1,1
2022-08-17 07:40:20.763,25,25,0,0
2022-08-17 07:43:09.883,26,26,1,1
2022-08-17 07:43:09.993,26,26,0,0
2022-08-17 07:45:16.321,27,27,1,1
2022-08-17 07:45:16.426,27,27,0,0
2022-08-17 07:47:06.597,28,28,1,1
2022-08-17 07:47:06.713,28,28,0,0
2022-08-17 07:48:58.015,29,29,1,1
2022-08-17 07:48:58.115,29,29,0,0
2022-08-17 07:50:31.234,30,30,1,1
2022-08-17 07:50:31.334,30,30,0,0
2022-08-17 07:53:28.614,31,31,1,1
2022-08-17 07:53:28.748,31,31,0,0
2022-08-17 07:55:07.435,32,32,1,1
2022-08-17 07:55:07.555,32,32,0,0
2022-08-17 08:08:23.942,33,33,1,1
2022-08-17 08:08:24.049,33,33,0,0
2022-08-17 08:10:16.740,34,34,1,1
2022-08-17 08:10:16.855,34,34,0,0
2022-08-17 08:11:54.234,35,35,1,1
2022-08-17 08:11:54.334,35,35,0,0
2022-08-17 08:13:36.882,36,36,1,1
2022-08-17 08:13:36.998,36,36,0,0
2022-08-17 08:15:31.129,37,37,1,1
2022-08-17 08:15:31.251,37,37,0,0
2022-08-17 08:17:25.321,38,38,1,1
2022-08-17 08:17:25.438,38,38,0,0
2022-08-18 01:12:58.959,39,39,1,1
2022-08-18 01:12:59.075,39,39,0,0
2022-08-30 10:33:25.436,40,40,1,1
2022-08-30 10:33:25.537,40,40,0,0
2022-08-30 10:40:06.046,41,41,1,1
2022-08-30 10:40:06.146,41,41,0,0
2022-08-30 10:43:09.518,42,42,1,1
2022-08-30 10:43:09.634,42,42,0,0
2022-08-30 10:45:20.606,43,43,1,1
2022-08-30 10:45:20.722,43,43,0,0
2022-08-30 10:47:25.815,44,44,1,1
2022-08-30 10:47:25.937,44,44,0,0
2022-08-30 10:50:17.378,45,45,1,1
2022-08-30 10:50:17.494,45,45,0,0
2022-08-30 10:52:31.264,46,46,1,1
2022-08-30 10:52:31.380,46,46,0,0
2022-08-30 10:54:41.462,47,47,1,1
2022-08-30 10:54:41.578,47,47,0,0
2022-08-30 10:56:55.887,48,48,1,1
2022-08-30 10:56:55.988,48,48,0,0
2022-08-30 11:01:25.413,49,49,1,1
2022-08-30 11:01:25.544,49,49,0,0
2022-08-30 11:07:34.260,50,50,1,1
2022-08-30 11:07:34.382,50,50,0,0
2022-08-30 11:12:59.250,51,51,1,1
2022-08-30 11:12:59.346,51,51,0,0
2022-08-30 11:15:14.990,52,52,1,1
2022-08-30 11:15:15.105,52,52,0,0
2022-08-30 11:17:03.964,53,53,1,1
2022-08-30 11:17:04.065,53,53,0,0
2022-08-30 11:20:56.133,54,54,1,1
2022-08-30 11:20:56.249,54,54,0,0
2022-08-30 11:23:12.977,55,55,1,1
2022-08-30 11:23:13.030,55,55,0,0
2022-08-30 11:25:20.415,56,56,1,1
2022-08-30 11:25:20.537,56,56,0,0
2022-08-30 11:27:31.761,57,57,1,1
2022-08-30 11:27:31.861,57,57,0,0
2022-08-30 11:29:28.469,58,58,1,1
2022-08-30 11:29:28.585,58,58,0,0
2022-08-30 11:31:48.354,59,59,1,1
2022-08-30 11:31:48.470,59,59,0,0
2022-09-05 02:14:03.642,60,60,1,1
