folder_4,WeldNumber,datetime_min,datetime_max,Wire Consumed,QualityFlag,WELD_TYPE,THICKNESS_MM,STEEL_TYPE,CURRENT_A,VOLTAGE_V,ROBOT_SPEED_CPM,Duration,Energy,AvgCurrent,AvgVoltage,StdCurrent,StdVoltage,DesignEnergy,WaitTime,WaitSameDayFlag,EnergyDelta,CurrentDelta,VoltDelta,CycleTime,EstSetupTime,WaitTimeCalc,WIP
08-11-22-0001-00,0,2022-08-11 03:30:01.270,2022-08-11 03:30:28.765,2361.97,0,0,7.0,1,180.0,24.0,30.0,27.495,116.1061692926,167.25008,25.300079999999998,33.979308385944925,3.3724690932221986,108.0,,0,0.07505712307962953,-0.07083288888888895,0.05416999999999983,,41.3638,,1
08-11-22-0002-00,1,2022-08-11 03:36:06.385,2022-08-11 03:36:34.057,1871.15,0,0,7.0,1,180.0,24.0,30.0,27.672,116.6872519586,166.68235059760954,25.16589641434263,34.138029979080365,3.7924695243636535,108.0,337.62,1,0.08043751813518529,-0.07398694112439141,0.04857901726427616,365.29200000000003,41.3638,296.25620000000004,1
08-11-22-0003-00,2,2022-08-11 03:43:41.278,2022-08-11 03:44:08.851,2429.02,0,0,7.0,1,180.0,24.0,30.0,27.573,116.2640293319,166.720796812749,25.258645418326694,33.810730807874435,3.847773038754875,108.0,427.221,1,0.07651879011018514,-0.07377335104028337,0.05244355909694565,454.794,41.3638,385.85720000000003,1
08-11-22-0004-00,3,2022-08-11 03:45:48.101,2022-08-11 03:46:15.758,1824.92,0,0,7.0,1,180.0,24.0,30.0,27.657,113.28854235690001,162.7806374501992,25.12211155378486,33.37289184341137,3.7130758036304603,108.0,99.25,1,0.04896798478611131,-0.09566312527667109,0.04675464807436902,126.907,41.3638,57.8862,1
08-11-22-0005-00,4,2022-08-11 03:48:21.882,2022-08-11 03:48:49.723,2205.41,0,0,7.0,1,180.0,24.0,30.0,27.841,114.5492594554,163.72426294820718,26.14438247011952,37.933997877294445,6.2065072236428955,108.0,126.124,1,0.060641291253703766,-0.09042076139884903,0.08934926958831335,153.965,41.3638,84.7602,1
08-11-22-0006-00,5,2022-08-11 03:51:49.254,2022-08-11 03:52:16.657,2459.67,0,0,7.0,1,180.0,24.0,30.0,27.403,115.4955562296,167.68427419354836,25.29415322580645,30.977605393385705,4.730614147364441,108.0,179.531,1,0.06940329842222215,-0.06842069892473135,0.053923051075268846,206.934,41.3638,138.1672,1
08-11-22-0007-00,6,2022-08-11 03:54:11.818,2022-08-11 03:54:39.521,2430.33,0,0,7.0,1,180.0,24.0,30.0,27.703,113.88401413300001,162.9174,25.7548,35.74574492665448,5.180091345273892,108.0,115.161,1,0.054481612342592634,-0.09490333333333345,0.07311666666666672,142.864,41.3638,73.7972,1
08-11-22-0008-00,7,2022-08-11 03:56:19.704,2022-08-11 03:56:47.260,1651.48,0,0,7.0,1,180.0,24.0,30.0,27.556,114.82027527070001,165.4102,25.691200000000002,32.846367442636726,5.839357270567828,108.0,100.183,1,0.0631506969509259,-0.08105444444444443,0.07046666666666668,127.739,41.3638,58.81920000000001,1
08-11-22-0009-00,8,2022-08-11 03:59:06.764,2022-08-11 03:59:34.250,2473.44,0,0,7.0,1,180.0,24.0,30.0,27.486,115.02627558,165.75395161290325,25.28076612903226,32.14550324156582,3.494788459153535,108.0,139.504,1,0.06505810722222227,-0.07914471326164862,0.05336525537634418,166.98999999999998,41.3638,98.14019999999998,1
08-11-22-0010-00,9,2022-08-11 04:00:57.537,2022-08-11 04:01:24.996,1855.57,0,0,7.0,1,180.0,24.0,30.0,27.459,114.21047925330001,163.88465863453814,25.68887550200803,32.68341770264764,5.14203192121486,108.0,83.287,1,0.05750443753055556,-0.08952967425256586,0.07036981258366803,110.74600000000001,41.3638,41.92320000000001,1
08-11-22-0011-00,10,2022-08-11 04:02:45.142,2022-08-11 04:03:12.551,2209.51,0,0,7.0,1,180.0,24.0,30.0,27.409,116.6350652,168.8818,25.465341365461846,30.751587629371407,4.409058397384653,108.0,80.146,1,0.07995430740740739,-0.061767777777777755,0.06105589022757685,107.555,41.3638,38.78220000000001,1
08-11-22-0012-00,11,2022-08-11 04:04:27.702,2022-08-11 04:04:55.259,1823.12,0,0,7.0,1,180.0,24.0,30.0,27.557,113.0154023659,162.17008064516128,25.24088709677419,32.966201843116224,3.746318141152937,108.0,75.151,1,0.046438910795370436,-0.09905510752688174,0.05170362903225789,102.708,41.3638,33.7872,1
08-11-22-0013-00,12,2022-08-11 04:05:59.508,2022-08-11 04:06:27.284,2046.07,0,0,7.0,1,180.0,24.0,30.0,27.776,117.7806455914,168.9138492063492,25.106785714285714,38.70671056668991,3.9404594027215007,108.0,64.249,1,0.09056153325370375,-0.06158972663139339,0.046116071428571326,92.02499999999999,41.3638,22.885199999999994,1
08-11-22-0014-00,13,2022-08-11 04:08:17.365,2022-08-11 04:08:44.985,2310.82,0,0,7.0,1,180.0,24.0,30.0,27.62,112.6786634977,160.95484,25.541880000000003,39.284157972966426,4.349392985575332,108.0,110.081,1,0.04332095831203708,-0.10580644444444454,0.06424500000000011,137.701,41.3638,68.71719999999999,1
08-11-22-0015-00,14,2022-08-11 04:10:15.443,2022-08-11 04:10:42.821,1833.77,0,0,7.0,1,180.0,24.0,30.0,27.378,114.1857696104,165.51388663967612,25.392145748987854,29.65797228051802,4.780332659595403,108.0,90.458,1,0.057275644540740744,-0.08047840755735491,0.058006072874494,117.836,41.3638,49.0942,1
08-11-22-0016-00,15,2022-08-11 04:12:41.955,2022-08-11 04:13:09.674,2160.82,0,0,7.0,1,180.0,24.0,30.0,27.719,115.30977574500001,166.18107569721116,25.44414342629482,32.718409008358684,4.903888861235196,108.0,119.134,1,0.06768310875000005,-0.07677180168216025,0.06017264276228418,146.853,41.3638,77.77020000000002,1
08-11-22-0017-00,16,2022-08-11 04:15:02.073,2022-08-11 04:15:29.761,1830.66,0,0,7.0,1,180.0,24.0,30.0,27.688,115.4790372507,164.98232000000002,25.531239999999997,33.73513989406729,4.9332705068722795,108.0,112.399,1,0.06925034491388882,-0.08343155555555548,0.06380166666666653,140.087,41.3638,71.03519999999999,1
08-11-22-0018-00,17,2022-08-11 04:17:04.968,2022-08-11 04:17:32.755,2204.43,0,0,7.0,1,180.0,24.0,30.0,27.787,115.41382618040001,165.14964,25.20508,39.39585154742806,4.496431806394739,108.0,95.207,1,0.06864653870740756,-0.08250199999999996,0.05021166666666654,122.994,41.3638,53.8432,1
08-11-22-0019-00,18,2022-08-11 04:18:57.914,2022-08-11 04:19:25.450,2384.92,0,0,7.0,1,180.0,24.0,30.0,27.536,115.54570774720001,165.92404000000002,25.61664,32.390504299152475,5.192491635809519,108.0,85.159,1,0.06986766432592595,-0.07819977777777765,0.06736000000000009,112.69500000000001,41.3638,43.79520000000001,1
08-17-22-0001-00,19,2022-08-17 07:28:11.468,2022-08-17 07:28:38.940,2446.89,0,0,7.0,1,180.0,24.0,30.0,27.472,118.4664336834,173.15795180722893,24.924899598393576,33.060239596212256,3.25897187335676,108.0,529726.018,0,0.09691142299444433,-0.03801137884872818,0.03853748326639894,529753.49,41.3638,529684.6542,1
08-17-22-0002-00,20,2022-08-17 07:30:07.458,2022-08-17 07:30:34.900,1893.61,0,0,7.0,1,180.0,24.0,30.0,27.442,117.2817597067,172.04258964143426,25.269840637450198,33.698273084342624,4.99047692856124,108.0,88.518,1,0.0859422195064814,-0.04420783532536521,0.05291002656042498,115.96000000000001,41.3638,47.15420000000001,1
08-17-22-0003-00,21,2022-08-17 07:32:52.187,2022-08-17 07:33:19.676,2230.98,0,0,7.0,1,180.0,24.0,30.0,27.489,118.8269693337,172.82976000000002,24.92284,31.227746208708396,3.5852846747778324,108.0,137.287,1,0.10024971605277777,-0.039834666666666574,0.03845166666666677,164.776,41.3638,95.92320000000001,1
08-17-22-0004-00,22,2022-08-17 07:34:44.590,2022-08-17 07:35:12.178,1913.61,0,0,7.0,1,180.0,24.0,30.0,27.588,117.3729630726,170.6972619047619,25.347023809523808,38.072513995729715,5.120719130529761,108.0,84.914,1,0.0867866951166667,-0.051681878306878426,0.056125992063492,112.50200000000001,41.3638,43.55020000000001,1
08-17-22-0005-00,23,2022-08-17 07:38:14.614,2022-08-17 07:38:42.086,2204.1,0,0,7.0,1,180.0,24.0,30.0,27.472,118.6100846603,173.4244,25.17836,32.11207164324473,4.643827715776634,108.0,182.436,1,0.09824152463240754,-0.03653111111111118,0.049098333333333466,209.90800000000002,41.3638,141.0722,1
08-17-22-0006-00,24,2022-08-17 07:40:20.662,2022-08-17 07:40:48.201,2450.49,0,0,7.0,1,180.0,24.0,30.0,27.539,118.2161290838,171.514126984127,25.282341269841268,32.528332052034216,4.891174472834552,108.0,98.576,1,0.09459378781296301,-0.04714373897707225,0.0534308862433861,126.115,41.3638,57.212199999999996,1
08-17-22-0007-00,25,2022-08-17 07:43:09.883,2022-08-17 07:43:37.408,1900.33,0,0,7.0,1,180.0,24.0,30.0,27.525,118.5980886183,172.818016194332,24.87672064777328,32.952458408352626,3.7783530006148003,108.0,141.682,1,0.09813045016944444,-0.03989991003148896,0.0365300269905533,169.207,41.3638,100.31819999999999,1
08-17-22-0008-00,26,2022-08-17 07:45:16.321,2022-08-17 07:45:43.900,2222.62,0,0,7.0,1,180.0,24.0,30.0,27.579,118.21133779430001,171.75504032258064,24.825120967741935,33.633920991967535,3.652574155443814,108.0,98.913,1,0.09454942402129629,-0.045805331541218686,0.034380040322580685,126.49199999999999,41.3638,57.54919999999999,1
08-17-22-0009-00,27,2022-08-17 07:47:06.597,2022-08-17 07:47:34.233,2444.59,0,0,7.0,1,180.0,24.0,30.0,27.636,118.62535334900001,171.48048,25.38244,35.97967497092846,5.182457593965725,108.0,82.697,1,0.0983829013796298,-0.04733066666666663,0.05760166666666655,110.333,41.3638,41.333200000000005,1
08-17-22-0010-00,28,2022-08-17 07:48:58.015,2022-08-17 07:49:25.560,1940.98,0,0,7.0,1,180.0,24.0,30.0,27.545,118.9693452555,172.99489959839357,24.947710843373493,35.629324469984844,3.7319119652064803,108.0,83.782,1,0.10156801162499995,-0.03891722445336909,0.03948795180722886,111.327,41.3638,42.4182,1
08-17-22-0011-00,29,2022-08-17 07:50:31.234,2022-08-17 07:50:58.757,2197.87,0,0,7.0,1,180.0,24.0,30.0,27.523,118.9849996539,173.23156,24.99204,35.05482577344276,3.9588744595333383,108.0,65.674,1,0.10171295975833328,-0.03760244444444438,0.0413349999999999,93.197,41.3638,24.310200000000005,1
08-17-22-0012-00,30,2022-08-17 07:53:28.614,2022-08-17 07:53:56.144,2447.05,0,0,7.0,1,180.0,24.0,30.0,27.53,117.2165404624,169.7857258064516,25.021774193548385,32.52852772675491,3.784360218662394,108.0,149.857,1,0.08533833761481491,-0.05674596774193552,0.04257392473118271,177.387,41.3638,108.4932,1
08-17-22-0013-00,31,2022-08-17 07:55:07.435,2022-08-17 07:55:34.902,1913.61,0,0,7.0,1,180.0,24.0,30.0,27.467,115.2667911508,167.32967479674795,25.209715447154473,33.94497661576499,3.7082544879323756,108.0,71.291,1,0.06728510324814807,-0.07039069557362254,0.05040481029810295,98.758,41.3638,29.9272,1
08-17-22-0014-00,32,2022-08-17 08:08:23.942,2022-08-17 08:08:51.677,2185.41,0,0,7.0,1,180.0,24.0,30.0,27.735,117.4095569943,169.54928,24.93536,36.81116640600078,3.848168926482696,108.0,769.04,1,0.08712552772500004,-0.05805955555555553,0.038973333333333304,796.775,41.3638,727.6762,1
08-17-22-0015-00,33,2022-08-17 08:10:16.740,2022-08-17 08:10:44.250,2517.05,0,0,7.0,1,180.0,24.0,30.0,27.51,116.7252718739,170.00752032520325,25.26959349593496,31.96022164027502,4.619229973530837,108.0,85.063,1,0.08078955438796287,-0.05551377597109308,0.052899728997289897,112.57300000000001,41.3638,43.699200000000005,1
08-17-22-0016-00,34,2022-08-17 08:11:54.234,2022-08-17 08:12:21.629,1649.34,0,0,7.0,1,180.0,24.0,30.0,27.395,115.7119846035,168.87604000000002,25.18612,36.48385335653794,3.868050439486231,108.0,69.984,1,0.07140726484722215,-0.061799777777777676,0.0494216666666667,97.37899999999999,41.3638,28.620199999999993,1
08-17-22-0017-00,35,2022-08-17 08:13:36.882,2022-08-17 08:14:04.445,2475.41,0,0,7.0,1,180.0,24.0,30.0,27.563,116.6770114443,169.87596,25.52815261044177,33.45231179959541,5.568426962029299,108.0,75.253,1,0.08034269855833331,-0.05624466666666672,0.0636730254350737,102.816,41.3638,33.8892,1
08-17-22-0018-00,36,2022-08-17 08:15:31.129,2022-08-17 08:15:58.649,1895.9,0,0,7.0,1,180.0,24.0,30.0,27.52,116.9836431742,169.95565737051794,25.332629482071713,36.24272639670109,5.0895594561973,108.0,86.684,1,0.08318188124259263,-0.05580190349712255,0.05552622841965471,114.204,41.3638,45.3202,1
08-17-22-0019-00,37,2022-08-17 08:17:25.321,2022-08-17 08:17:52.799,1411.31,0,0,7.0,1,180.0,24.0,30.0,27.478,117.9561564704,172.11676113360323,25.450691056910568,36.457828573076696,4.986147906857811,108.0,86.672,1,0.09218663398518512,-0.04379577147998204,0.06044546070460699,114.15,41.3638,45.30820000000001,1
08-18-22-0020-00,38,2022-08-18 01:12:58.959,2022-08-18 01:13:26.574,2507.21,0,0,7.0,1,180.0,24.0,30.0,27.615,117.1059116083,169.7942231075697,24.90191235059761,35.95232344778325,3.907773525715998,108.0,60906.16,0,0.08431399637314829,-0.056698760513501645,0.0375796812749003,27.615,41.3638,-41.3638,1
08-30-22-0001-09,39,2022-08-30 10:33:25.436,2022-08-30 10:33:47.330,1388.03,1,0,7.0,1,150.0,16.0,30.0,21.894,47.5300395037,136.07878787878786,16.603484848484847,59.30602418913519,6.122882559699378,60.0,1070398.862,0,-0.20783267493833324,-0.0928080808080809,0.03771780303030292,1070420.756,41.3638,1070357.4982,1
