WeldNumber,folder_4,WeldNumber,datetime_min,datetime_max,Wire Consumed,QualityFlag,WELD_TYPE,THICKNESS_MM,STEEL_TYPE,CURRENT_A,VOLTAGE_V,ROBOT_SPEED_CPM,Duration,Energy,AvgCurrent,AvgVoltage,StdCurrent,StdVoltage,DesignEnergy,WaitTime,WaitSameDayFlag,EnergyDelta,CurrentDelta,VoltDelta,CycleTime,EstSetupTime,WaitTimeCalc,WIP,DesignWaitTime,DesignSetupTime,DesignDuration,Weekday,StartTime,EndTime,ForecastStart,SimulationStart,ForecastEnd,SimulationEnd,Critical Path
0,08-11-22-0001-00,0,2022-08-11 03:30:01.270,2022-08-11 03:30:28.765,2361.97,0,0,7.0,1,180.0,24.0,30.0,27.495,116.1061692926,167.25008,25.30008,33.979308385944925,3.3724690932221986,108.0,,0.0,0.0750571230796295,-0.0708328888888889,0.0541699999999998,,41.3638,,1.0,64.77642531420676,60,25.0,1,2022-08-01 08:30:00,2022-08-01 08:30:25.000000000,2022-08-11 03:30:01.270000000,2022-08-11 03:30:01.270000000,2022-08-11 03:30:28.765000000,2022-08-11 03:30:28.765000000,Non-Critical
1,08-11-22-0002-00,1,2022-08-11 03:36:06.385,2022-08-11 03:36:34.057,1871.15,0,0,7.0,1,180.0,24.0,30.0,27.672,116.6872519586,166.68235059760954,25.16589641434263,34.138029979080365,3.7924695243636535,108.0,337.62,1.0,0.0804375181351852,-0.0739869411243914,0.0485790172642761,365.292,41.3638,296.25620000000004,1.0,130.5031235772253,60,25.0,1,2022-08-01 08:33:35,2022-08-01 08:34:00.503123577,2022-08-11 03:36:06.385000000,2022-08-11 03:36:06.385000000,2022-08-11 03:36:34.057000000,2022-08-11 03:36:34.057000000,Non-Critical
2,08-11-22-0003-00,2,2022-08-11 03:43:41.278,2022-08-11 03:44:08.851,2429.02,0,0,7.0,1,180.0,24.0,30.0,27.573,116.2640293319,166.720796812749,25.258645418326694,33.810730807874435,3.847773038754875,108.0,427.221,1.0,0.0765187901101851,-0.0737733510402833,0.0524435590969456,454.794,41.3638,385.8572,1.0,36.40450615536821,60,25.0,1,2022-08-01 08:35:36,2022-08-01 08:36:01.907629732,2022-08-11 03:43:41.278000000,2022-08-11 03:43:41.278000000,2022-08-11 03:44:08.851000000,2022-08-11 03:44:08.851000000,Non-Critical
3,08-11-22-0004-00,3,2022-08-11 03:45:48.101,2022-08-11 03:46:15.758,1824.92,0,0,7.0,1,180.0,24.0,30.0,27.657,113.2885423569,162.7806374501992,25.12211155378486,33.37289184341137,3.71307580363046,108.0,99.25,1.0,0.0489679847861113,-0.095663125276671,0.046754648074369,126.907,41.3638,57.8862,1.0,15.154817051390726,60,25.0,1,2022-08-01 08:37:17,2022-08-01 08:37:42.062446783,2022-08-11 03:45:48.101000000,2022-08-11 03:45:48.101000000,2022-08-11 03:46:15.758000000,2022-08-11 03:46:15.758000000,Non-Critical
4,08-11-22-0005-00,4,2022-08-11 03:48:21.882,2022-08-11 03:48:49.723,2205.41,0,0,7.0,1,180.0,24.0,30.0,27.841,114.5492594554,163.72426294820718,26.14438247011952,37.933997877294445,6.206507223642896,108.0,126.124,1.0,0.0606412912537037,-0.090420761398849,0.0893492695883133,153.965,41.3638,84.7602,1.0,26.364631977246603,60,25.0,1,2022-08-01 08:39:08,2022-08-01 08:39:33.427078760,2022-08-11 03:48:21.882000000,2022-08-11 03:48:21.882000000,2022-08-11 03:48:49.723000000,2022-08-11 03:48:49.723000000,Non-Critical
5,08-11-22-0006-00,5,2022-08-11 03:51:49.254,2022-08-11 03:52:16.657,2459.67,0,0,7.0,1,180.0,24.0,30.0,27.403,115.4955562296,167.68427419354836,25.29415322580645,30.977605393385705,4.730614147364441,108.0,179.531,1.0,0.0694032984222221,-0.0684206989247313,0.0539230510752688,206.934,41.3638,138.1672,1.0,13.943768070114553,60,25.0,1,2022-08-01 08:40:47,2022-08-01 08:41:12.370846830,2022-08-11 03:51:49.254000000,2022-08-11 03:51:49.254000000,2022-08-11 03:52:16.657000000,2022-08-11 03:52:16.657000000,Non-Critical
6,08-11-22-0007-00,6,2022-08-11 03:54:11.818,2022-08-11 03:54:39.521,2430.33,0,0,7.0,1,180.0,24.0,30.0,27.703,113.884014133,162.9174,25.7548,35.74574492665448,5.180091345273892,108.0,115.161,1.0,0.0544816123425926,-0.0949033333333334,0.0731166666666667,142.864,41.3638,73.7972,1.0,74.03184558585852,60,25.0,1,2022-08-01 08:43:26,2022-08-01 08:43:51.402692415,2022-08-11 03:54:11.818000000,2022-08-11 03:54:11.818000000,2022-08-11 03:54:39.521000000,2022-08-11 03:54:39.521000000,Non-Critical
7,08-11-22-0008-00,7,2022-08-11 03:56:19.704,2022-08-11 03:56:47.260,1651.48,0,0,7.0,1,180.0,24.0,30.0,27.556,114.8202752707,165.4102,25.6912,32.846367442636726,5.839357270567828,108.0,100.183,1.0,0.0631506969509259,-0.0810544444444444,0.0704666666666666,127.739,41.3638,58.81920000000001,1.0,1913.730004086198,60,25.0,1,2022-08-01 09:16:45,2022-08-01 09:17:10.132696501,2022-08-11 03:56:19.704000000,2022-08-11 03:56:19.704000000,2022-08-11 03:56:47.260000000,2022-08-11 03:56:47.260000000,Non-Critical
8,08-11-22-0009-00,8,2022-08-11 03:59:06.764,2022-08-11 03:59:34.250,2473.44,0,0,7.0,1,180.0,24.0,30.0,27.486,115.02627558,165.75395161290325,25.28076612903226,32.14550324156582,3.494788459153535,108.0,139.504,1.0,0.0650581072222222,-0.0791447132616486,0.0533652553763441,166.98999999999998,41.3638,98.14019999999998,1.0,24.81518585257697,60,25.0,1,2022-08-01 09:18:34,2022-08-01 09:18:59.947882353,2022-08-11 03:59:06.764000000,2022-08-11 03:59:06.764000000,2022-08-11 03:59:34.250000000,2022-08-11 03:59:34.250000000,Non-Critical
9,08-11-22-0010-00,9,2022-08-11 04:00:57.537,2022-08-11 04:01:24.996,1855.57,0,0,7.0,1,180.0,24.0,30.0,27.459,114.2104792533,163.88465863453814,25.68887550200803,32.68341770264764,5.14203192121486,108.0,83.287,1.0,0.0575044375305555,-0.0895296742525658,0.070369812583668,110.746,41.3638,41.92320000000001,1.0,20.545945945232738,60,25.0,1,2022-08-01 09:20:20,2022-08-01 09:20:45.493828298,2022-08-11 04:00:57.537000000,2022-08-11 04:00:57.537000000,2022-08-11 04:01:24.996000000,2022-08-11 04:01:24.996000000,Non-Critical
